Epoch,Case,Index,Value,Word,
Epoch 198, Highest, Index: 5091, Value: 4.044       , Word: good,
Epoch 198, Highest, Index: 4392, Value: 3.976       , Word: excellent,
Epoch 198, Highest, Index: 5129, Value: 3.745       , Word: great,
Epoch 198, Highest, Index: 2941, Value: 3.213       , Word: comfortable,
Epoch 198, Highest, Index: 2138, Value: 2.967       , Word: best,
Epoch 198, Highest, Index: 10171, Value: 2.894       , Word: thank,
Epoch 198, Highest, Index: 4904, Value: 2.881       , Word: friendly,
Epoch 198, Highest, Index: 7194, Value: 2.859       , Word: nice,
Epoch 198, Highest, Index: 5369, Value: 2.811       , Word: helpful,
Epoch 198, Highest, Index: 1496, Value: 2.648       , Word: always,
Epoch 198, Lowest, Index: 7273, Value: -3.450      , Word: not,
Epoch 198, Lowest, Index: 7, Value: -3.091      ," Word: """,
Epoch 198, Lowest, Index: 10332, Value: -2.558      , Word: told,
Epoch 198, Lowest, Index: 7220, Value: -2.479      , Word: no,
Epoch 198, Lowest, Index: 7174, Value: -2.310      , Word: never,
Epoch 198, Lowest, Index: 10208, Value: -2.210      , Word: they,
Epoch 198, Lowest, Index: 8922, Value: -2.089      , Word: rude,
Epoch 198, Lowest, Index: 3414, Value: -2.061      , Word: customer,
Epoch 198, Lowest, Index: 2063, Value: -2.025      , Word: because,
Epoch 198, Lowest, Index: 1783, Value: -2.024      , Word: at,
